question_id,discipline_id,program_id,question_or_action,owner_role,target_date,status,poi_ref_id,goi_ref_id,evidence_pointer,notes
Q-LEG-001,legal,PRJ-HOL-FOUNDING-2026,Confirm exact objeto social text and CNAE codes (with rationale) before signing,Legal Counsel,before_signing,open,POI-LEG-ENISA-LEAD-2026,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-001 (vault MD v1.1).
Q-LEG-002,legal,PRJ-HOL-FOUNDING-2026,Recommendation: CIRCE telematic constitution vs ordinary notary route (incl. timing and fee profile),Legal Counsel,before_signing,open,,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-002.
Q-LEG-003,legal,PRJ-HOL-FOUNDING-2026,CIRCE trade-offs vs bespoke objeto social (impact on flexibility and amendments),Legal Counsel,before_signing,open,,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-003.
Q-LEG-004,legal,PRJ-HOL-FOUNDING-2026,Legal basis for the 1 euro share-capital path explanation (including reserve-build obligations),Legal Counsel,before_signing,open,,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-005.
Q-LEG-005,legal,PRJ-HOL-FOUNDING-2026,Holding-structure constraints to avoid taking now (decisions that would limit a future holding),Legal Counsel,before_signing,open,,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-009.
Q-FIS-001,fiscal,PRJ-HOL-FOUNDING-2026,Exact pluriactivity / quota benefit believed to apply (assumptions and dependencies),Business Controller,before_signing,open,POI-LEG-FISCAL-LEAD-2026,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-006.
Q-FIS-002,fiscal,PRJ-HOL-FOUNDING-2026,Founder-funded infrastructure handling: tax treatment and bookkeeping path (pre vs post incorporation),Business Controller,before_signing,open,POI-LEG-FISCAL-LEAD-2026,,docs/references/hlk/v3.0/Admin/O5-1/Finance/Business%20Controller/Taxes/SOP-FOUNDER_COMPANY_FUNDING_001.md,Migrated from Q-008. Cross-link SOP-FOUNDER_COMPANY_FUNDING_001.
Q-IPT-001,ip,PRJ-HOL-FOUNDING-2026,Trademark fee breakdown (official vs service) by territory and class for chosen filing strategy,Legal Counsel,tbd,open,,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-007.
Q-BNK-001,banking,PRJ-HOL-FOUNDING-2026,CNAE / constitution sequencing: align constitution-desk bank with certification adviser on who proposes final CNAE and how it stays consistent with objeto social,Legal Counsel,before_signing,open,POI-BNK-DESK-LEAD-2026,GOI-BNK-INC-2026,docs/references/hlk/business-intent/delete-legal-transcripts/README.md,Migrated from Q-011 (real bank + desk-lead names redacted to GOI/POI ref_ids).
Q-CRT-001,certification,PRJ-HOL-FOUNDING-2026,ENISA documentation split: which artifacts founder produces vs adviser-produced (responsibility matrix),Compliance,tbd,open,POI-LEG-ENISA-LEAD-2026,GOI-ADV-ENTITY-2026,docs/wip/planning/04-holistika-company-formation/reports/founder-incorporation-section7-structured-table.md,Migrated from Q-004.
Q-CRT-002,certification,PRJ-HOL-FOUNDING-2026,Deliver consolidated business plan + PESTEL / market analysis to certification adviser by email,Legal Counsel,asap,open,POI-LEG-ENISA-LEAD-2026,GOI-ADV-ENTITY-2026,docs/references/hlk/business-intent/delete-legal-transcripts/README.md,Migrated from Q-010 (2026-08-04 kick-off).
Q-CRT-003,certification,PRJ-HOL-FOUNDING-2026,Startup / ENISA business plan: financing section — credible minimal narrative (adviser to revisit with more positive framing),Legal Counsel,tbd,open,POI-LEG-ENISA-LEAD-2026,GOI-ADV-ENTITY-2026,docs/references/hlk/business-intent/delete-legal-transcripts/README.md,Migrated from Q-012 (2026-08-04 kick-off).
