pairing_id,pairing_class,parent_doc_path,companion_doc_paths,area,pattern_id,authority,mirror_ready,hlk_erp_panel_ready,ai_archivist_ready,status,last_review,last_review_by,last_review_decision_id,methodology_version_at_review,notes
pair_holistika_stakeholder_lenses_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_STAKEHOLDER_LENSES.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_STAKEHOLDER_LENSES.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,First instantiation of pattern_sop_addendum_split per I80 P2; level 4 body + level 5 addendum (Founder reflection + Agent vortion).
pair_sop_people_agentic_operations_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_AGENTIC_OPERATIONS_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_AGENTIC_OPERATIONS_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,I79 retrofit per I80 P4; Tech Lab posture + KB tier integration moved to addendum.
pair_sop_people_cross_area_breakthrough_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_CROSS_AREA_BREAKTHROUGH_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_CROSS_AREA_BREAKTHROUGH_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,I79 retrofit per I80 P4; KB tier integration matrix + scoring depth moved to addendum.
pair_sop_engagement_model_registry_maintenance_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_MODEL_REGISTRY_MAINTENANCE_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_MODEL_REGISTRY_MAINTENANCE_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,I73 lifecycle retrofit per I80 P5; 7-class taxonomy rationale + FINOPS integration in addendum.
pair_sop_engagement_hiring_lifecycle_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_HIRING_LIFECYCLE_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_HIRING_LIFECYCLE_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,I73 lifecycle retrofit per I80 P5; enum semantics + Legal template routing in addendum.
pair_sop_engagement_onboarding_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_ONBOARDING_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_ONBOARDING_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,I73 lifecycle retrofit per I80 P5; 4-channel persistence + access-level routing in addendum.
pair_sop_engagement_payroll_ops_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_PAYROLL_OPS_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_PAYROLL_OPS_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,I73 lifecycle retrofit per I80 P5; FINOPS architecture + Stripe metadata routing in addendum.
pair_sop_engagement_offboarding_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_OFFBOARDING_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/SOP-ENGAGEMENT_OFFBOARDING_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,I73 lifecycle retrofit per I80 P5; round review + IP filing matrix in addendum.
pair_sop_people_area_governance_001,sop_addendum_split,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_AREA_GOVERNANCE_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_AREA_GOVERNANCE_001.addendum.md,People,pattern_sop_addendum_split,parent,partial,planned,planned,active,2026-06-04,CPO,D-IH-93-B,v3.1,I93 P0 area-governance meta-process; executor body + auditor addendum per pattern_sop_addendum_split.
pair_index_v3_vault_index_001,index_entries,docs/references/hlk/v3.0/index.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/PEOPLE_DESIGN_PATTERN_LIBRARY.md;docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_ORGANISING_DOCTRINE.md;docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_AGENTIC_DOCTRINE.md;docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_STAKEHOLDER_LENSES.md,Admin,pattern_register_csv_pydantic_validator_mirror,parent,yes,planned,planned,active,2026-05-16,System Owner,D-IH-80-H,v3.1,Vault index entry registers the v3.0 vault index canonical and its primary People doctrines as companion entries; future entries indexed via addendum or index_entries pairing rows.
pair_design_pattern_library_index_001,index_entries,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/PEOPLE_DESIGN_PATTERN_LIBRARY.md,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PEOPLE_DESIGN_PATTERN_REGISTRY.csv,People,pattern_register_csv_pydantic_validator_mirror,parent,yes,planned,planned,active,2026-05-16,People Operations Lead,D-IH-80-H,v3.1,Pattern library narrative anchors paired by pattern_id to the CSV registry rows; the library is the human readable index over the registry data.
pair_env_tech_dtp_255_kirbe_connector_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/Repositories/KIRBE_ROUTING_AND_HOSTING.md,docs/wip/planning/90-routing-and-wiring/reports/kirbe-production-routing-ops-2026-06-01.md;docs/wip/planning/81-vault-integrity-layout-milestones-retrofit/reports/ops-90-6-kirbe-gdrive-pairing-forward-2026-06-01.md,Tech,pattern_paired_sop_runbook,parent,partial,planned,planned,active,2026-06-01,System Owner,D-IH-90-X,v3.1,process_list env_tech_dtp_255 workstream KiRBe Multi-Source Connector Setup; routing SSOT + OPS-90-6 forward; v3.0 SOP body/addendum + holistika_ops GDrive SOP retrofit = I81 P6.
pair_env_tech_dtp_256_kirbe_ingestion_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/Repositories/KIRBE_ROUTING_AND_HOSTING.md,docs/wip/planning/90-routing-and-wiring/reports/kirbe-production-routing-ops-2026-06-01.md;docs/wip/planning/81-vault-integrity-layout-milestones-retrofit/reports/ops-90-6-kirbe-gdrive-pairing-forward-2026-06-01.md,Tech,pattern_paired_sop_runbook,parent,partial,planned,planned,active,2026-06-01,System Owner,D-IH-90-X,v3.1,process_list env_tech_dtp_256 KiRBe Canonical Ingestion Envelope; API host per D-IH-90-X; kirbe repo runbooks cite SSOT; full vault SOP pairing = I81 P6.
pair_data_area_charter_001,index_entries,docs/references/hlk/v3.0/Admin/O5-1/Data/canonicals/DATA_AREA_CHARTER.md,docs/references/hlk/v3.0/Admin/O5-1/Data/README.md;docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/AREA_GOVERNANCE_DISCIPLINE.md,Data,pattern_area_buildout,parent,partial,planned,planned,active,2026-06-04,CDO,D-IH-93-C,v3.1,I93 P1 DATA area charter; inherited_pattern_id=pattern_area_buildout in charter narrative.
pair_dataops_governance_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATAOPS_DISCIPLINE.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-TECH_DATAOPS_QUALITY_001.md;docs/references/hlk/v3.0/Admin/O5-1/Data/canonicals/DATA_AREA_CHARTER.md,Data,pattern_paired_sop_runbook,parent,partial,planned,planned,active,2026-06-04,Data Governance Lead,D-IH-93-C,v3.1,I93 P1 DataOps re-home; doctrine+SOP+charter pairing; legacy aliases one cycle under People/ and Tech/.
pair_data_governance_p2_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_GOVERNANCE_POLICY.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_CONTRACT_STANDARD.md;docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/DATA_CONTRACT_REGISTRY.csv;docs/references/hlk/v3.0/Admin/O5-1/Data/canonicals/DATA_AREA_CHARTER.md,Data,pattern_register_csv_pydantic_validator_mirror,parent,partial,planned,planned,active,2026-06-04,Data Governance Lead,D-IH-93-D,v3.1,I93 P2 policy+standard+registry companion set; 4 seed contract rows; forward mirror declarations for OPS-86-15 gap surfaces.
pair_data_contract_registry_ops_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_CONTRACT_REGISTRY_MAINTENANCE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_CATALOG_INTEGRATION_POSTURE.md;docs/wip/planning/93-data-area-foundation-and-governance/reports/data-contract-registry-operating-model-2026-06-04.md;scripts/data_contract_registry_check.py,Data,pattern_paired_sop_runbook,parent,partial,planned,planned,active,2026-06-04,Data Governance Lead,D-IH-93-D,v3.1,I93 P2b maintenance SOP + catalog posture + operating-model report + coverage runbook.
pair_semantic_layer_metrics_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/SEMANTIC_LAYER.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/METRICS_REGISTRY.csv;docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/DATA_ARCHITECTURE.md,Data,pattern_register_csv_pydantic_validator_mirror,parent,partial,planned,planned,active,2026-06-04,Data Architect,D-IH-93-D,v3.1,I93 P4 semantic layer + metrics registry; pairs thi_data_dtp_31.
pair_data_lineage_sop_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_LINEAGE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/DATA_ARCHITECTURE.md;scripts/data_lineage_check.py;scripts/sync_hlk_neo4j.py,Data,pattern_paired_sop_runbook,parent,partial,planned,planned,active,2026-06-04,Data Architect,D-IH-93-D,v3.1,I93 P4 formal lineage SOP + runbook; pairs thi_data_dtp_275.
pair_data_mdm_golden_record_001,doctrine_companion,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_MASTERDATA_GOLDEN_RECORD_001.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_PRIVACY_RETENTION_POLICY.md;docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/GOI_POI_REGISTER.csv;scripts/mdm_golden_record_check.py,Data,pattern_paired_sop_runbook,parent,partial,planned,planned,active,2026-06-04,Data Steward,D-IH-93-D,v3.1,I93 P5 MDM golden-record SOP + runbook; pairs thi_data_dtp_32.
